"Run","Start","End","StaticCost","StaticTime(ms)","StaticPathLen","AdaptiveCost","AdaptiveTime(ms)","AdaptivePathLen","CostDelta(%)","TimeDelta(%)"
"1","N113","N226","18.192","7.541","6","18.192","3.440","6","0.00","54.38"
"2","N211","N253","26.612","0.706","6","26.874","0.673","5","-0.98","4.66"
"3","N51","N96","12.684","0.410","7","12.684","0.255","7","0.00","37.83"
"4","N182","N67","26.510","0.492","8","26.510","0.484","8","0.00","1.57"
"5","N63","N68","25.694","0.284","8","25.694","0.267","8","0.00","5.85"
"6","N84","N207","29.701","0.291","8","29.701","0.340","8","0.00","-16.78"
"7","N192","N214","36.425","0.405","6","37.013","0.701","11","-1.61","-73.25"
"8","N202","N26","Infinity","0.070","0","Infinity","0.064","0","NaN","8.66"
"9","N44","N89","24.531","0.704","7","24.531","0.794","7","0.00","-12.67"
"10","N72","N94","27.830","0.747","9","28.440","1.190","7","-2.19","-59.17"
"11","N8","N184","52.697","0.443","14","52.697","0.264","14","0.00","40.33"
"12","N104","N151","19.297","0.159","6","19.297","0.116","6","0.00","27.54"
"13","N152","N50","33.881","0.636","9","33.881","0.481","9","0.00","24.39"
"14","N202","N16","23.211","0.468","5","23.211","1.881","5","0.00","-301.52"
"15","N206","N245","15.395","0.168","4","15.395","0.126","4","0.00","24.58"
"16","N149","N197","10.512","0.206","5","10.512","0.211","5","0.00","-2.28"
"17","N220","N133","27.332","0.587","6","27.332","0.337","6","0.00","42.47"
"18","N13","N7","34.469","0.435","9","34.469","0.402","9","0.00","7.66"
"19","N111","N96","29.050","1.176","8","29.050","0.760","8","0.00","35.34"
"20","N119","N106","19.184","0.197","4","19.184","0.163","4","0.00","17.44"
"21","N180","N225","24.968","0.197","5","24.968","0.200","5","0.00","-1.83"
"22","N9","N137","Infinity","0.473","0","Infinity","0.450","0","NaN","4.99"
"23","N147","N53","15.043","0.534","5","15.043","0.474","5","0.00","11.24"
"24","N93","N6","56.779","0.365","9","57.374","0.249","10","-1.05","31.58"
"25","N188","N75","Infinity","0.100","0","Infinity","0.080","0","NaN","20.66"
"26","N220","N71","12.897","0.249","4","12.897","0.128","4","0.00","48.49"
"27","N233","N192","13.101","0.309","5","13.101","0.314","5","0.00","-1.45"
"28","N152","N160","31.076","0.509","8","31.076","0.455","8","0.00","10.76"
"29","N20","N200","Infinity","0.374","0","Infinity","0.311","0","NaN","16.77"
"30","N99","N115","22.089","0.327","8","22.089","0.339","8","0.00","-3.67"
"31","N249","N29","Infinity","0.097","0","Infinity","0.087","0","NaN","10.05"
"32","N201","N32","24.365","0.549","4","24.365","0.789","4","0.00","-43.78"
